,model,target,feature_set,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std
0,OLS,Magnitude,biomech,-0.26610346219145786,0.28078353474520434,0.38381173492989973,0.06405715535517743,0.4925571189361782,0.08805397340139344
1,OLS,Magnitude,biomech_demo,-0.23702453440711932,0.2565767255585879,0.3801697927800486,0.059021001240106966,0.48826879409298163,0.08838155766936628
2,OLS,Magnitude,reduced,-0.061353367163251335,0.16991136907026955,0.34705078636714315,0.052710195971180804,0.4543077017418337,0.08435961078476192
3,OLS,J0,biomech,-0.2263616948754213,0.20806572711241741,0.4409524228476967,0.07712702127199268,0.5785923920518918,0.13139040866215054
4,OLS,J0,biomech_demo,-0.13278581568548384,0.23063560773987538,0.4204195730766209,0.07640250874642351,0.5561657148937124,0.13547603839989322
5,OLS,J0,reduced,-0.05901292573341153,0.05468949729541781,0.4077361876211907,0.08250385721236753,0.5422789237498449,0.1294011634649821
6,OLS,J45,biomech,-0.298827357389127,0.2932550568903932,0.4292251374081555,0.08251788385214984,0.5732850979777899,0.11108954570160658
7,OLS,J45,biomech_demo,-0.2703825578737614,0.3106686140801171,0.4194795509754306,0.06212887663494493,0.5605521646073136,0.08382882719763056
8,OLS,J45,reduced,-0.09442983749200623,0.12420198476373445,0.3898509105907178,0.07087819483469804,0.5297378350265176,0.09975414839919332
9,ElasticNet,Magnitude,biomech,-0.12935421556251722,0.16539163166045182,0.36496018965766386,0.05497326728014906,0.4694002767221125,0.09032127483831474
10,ElasticNet,Magnitude,biomech_demo,-0.11184396823968047,0.1266714151581213,0.3606642974294516,0.05581535976759224,0.4667922095433969,0.09050977710336867
11,ElasticNet,Magnitude,reduced,-0.06422791517495621,0.16081199007816518,0.3485257332874057,0.052484680904526744,0.45519444720957075,0.0848301893526162
12,ElasticNet,J0,biomech,-0.05056155161416666,0.05459034977893032,0.4061954469049381,0.08271505569971524,0.540277686912974,0.1298735958143046
13,ElasticNet,J0,biomech_demo,0.014652910240792604,0.11102608677808093,0.3892709545870748,0.07799966851765561,0.5246575932384664,0.1367651218750459
