feature,VIF
bIOP,43.808330529436
IOPnc,34.193248893244906
CCT,11.250049161669043
PD,10.75525834330984
IR,8.378594520537874
CBiF,8.22058102688489
SSI,8.120201283245274
ARTh,6.594030753276851
SPA1,6.0372157645247
AV1,5.890281390936638
DA_Ratio,4.642415774636887
HCDA,3.989028421116777
HCR,2.8311797113664716
AV2,2.668279652275837
CBI,1.4318044094244855
AL1,1.3044451939601218
AL2,1.1402478715887825
