,predictor_set,term,coef,ci_low,ci_high,p
0,Age+IR,const,-0.9049238990596411,-1.7618633806641055,-0.047984417455176565,0.038479287063838255
1,Age+IR,age,0.015020845388434451,0.005886461543429835,0.024155229233439067,0.0012684601024921145
2,Age+IR,IR,-0.05457117377647128,-0.13628947513007245,0.02714712757712988,0.19058294205725623
3,Age+IR+Eye,const,-1.0328263151172665,-1.913320741328043,-0.15233188890648997,0.021501992604149228
4,Age+IR+Eye,age,0.01493013961055735,0.005720733060620823,0.024139546160493876,0.0014857034899372734
5,Age+IR+Eye,IR,-0.046369827893699304,-0.1293264544995277,0.03658679871212909,0.2732754344272238
6,Age+IR+Eye,eye_binary,0.1277285796421958,-0.04159681926104275,0.29705397854543436,0.1392806099548644
