Strategy,Mean Vector Error,SD,Median,IQR
Clinical default (0.25D@45°),0.645573378616654,0.46221564954215005,0.5092660502781943,0.3317-0.8446
Yin et al. formula,0.6872561674427146,0.4515650659470219,0.5979163653737309,0.3683-0.8640
Population centroid,0.6241338401812194,0.4519294800749229,0.5332069642122106,0.3164-0.7835
Eye-specific centroid,0.5971091704581665,0.445672209883196,0.49463572854045057,0.2796-0.7802
Age-tertile centroid,0.6209314115916826,0.44689119287770784,0.511720902016863,0.3159-0.7833
Eye x Age centroid,0.5912738421972861,0.43304324507198405,0.4973337691331353,0.2892-0.7552
Mean mag @ eye direction,0.6661774043189167,0.4463899092727449,0.5803670367743192,0.3644-0.8469
